stop_id,stop_sequence,hour,trips_in_hour
901736,1,0,2
901736,1,1,2
901736,1,2,1
901736,1,3,1
901736,1,4,2
901736,1,5,5
901736,1,6,6
901736,1,7,6
901736,1,8,4
901736,1,9,3
901736,1,10,3
901736,1,11,3
901736,1,12,4
901736,1,13,4
901736,1,14,4
901736,1,15,5
901736,1,16,5
901736,1,17,4
901736,1,18,4
901736,1,19,4
901736,1,20,4
901736,1,21,3
901736,1,22,2
901736,1,23,2
303710,2,0,2
303710,2,1,2
303710,2,2,1
303710,2,3,1
303710,2,4,2
303710,2,5,5
303710,2,6,6
303710,2,7,6
303710,2,8,4
303710,2,9,3
303710,2,10,3
303710,2,11,3
303710,2,12,4
303710,2,13,4
303710,2,14,4
303710,2,15,5
303710,2,16,5
303710,2,17,4
303710,2,18,4
303710,2,19,4
303710,2,20,4
303710,2,21,3
303710,2,22,2
303710,2,23,2
303711,3,0,2
303711,3,1,2
303711,3,2,1
303711,3,3,1
303711,3,4,2
303711,3,5,5
303711,3,6,6
303711,3,7,6
303711,3,8,4
303711,3,9,3
303711,3,10,3
303711,3,11,3
303711,3,12,4
303711,3,13,4
303711,3,14,4
303711,3,15,5
303711,3,16,5
303711,3,17,4
303711,3,18,4
303711,3,19,4
303711,3,20,4
303711,3,21,3
303711,3,22,2
303711,3,23,2
303712,4,0,2
303712,4,1,2
303712,4,2,1
303712,4,3,1
303712,4,4,2
303712,4,5,5
303712,4,6,6
303712,4,7,6
303712,4,8,4
303712,4,9,3
303712,4,10,3
303712,4,11,3
303712,4,12,4
303712,4,13,4
303712,4,14,4
303712,4,15,5
303712,4,16,5
303712,4,17,4
303712,4,18,4
303712,4,19,4
303712,4,20,4
303712,4,21,3
303712,4,22,2
303712,4,23,2
303713,5,0,2
303713,5,1,2
303713,5,2,1
303713,5,3,1
303713,5,4,2
303713,5,5,5
303713,5,6,6
303713,5,7,6
303713,5,8,4
303713,5,9,3
303713,5,10,3
303713,5,11,3
303713,5,12,4
303713,5,13,4
303713,5,14,4
303713,5,15,5
303713,5,16,5
303713,5,17,4
303713,5,18,4
303713,5,19,4
303713,5,20,4
303713,5,21,3
303713,5,22,2
303713,5,23,2
303714,6,0,2
303714,6,1,2
303714,6,2,1
303714,6,3,1
303714,6,4,2
303714,6,5,5
303714,6,6,6
303714,6,7,6
303714,6,8,4
303714,6,9,3
303714,6,10,3
303714,6,11,3
303714,6,12,4
303714,6,13,4
303714,6,14,4
303714,6,15,5
303714,6,16,5
303714,6,17,4
303714,6,18,4
303714,6,19,4
303714,6,20,4
303714,6,21,3
303714,6,22,2
303714,6,23,2
306974,7,0,2
306974,7,1,2
306974,7,2,1
306974,7,3,1
306974,7,4,2
306974,7,5,5
306974,7,6,6
306974,7,7,6
306974,7,8,4
306974,7,9,3
306974,7,10,3
306974,7,11,3
306974,7,12,4
306974,7,13,4
306974,7,14,4
306974,7,15,5
306974,7,16,5
306974,7,17,4
306974,7,18,4
306974,7,19,4
306974,7,20,4
306974,7,21,3
306974,7,22,2
306974,7,23,2
306322,8,0,2
306322,8,1,2
306322,8,2,1
306322,8,3,1
306322,8,4,2
306322,8,5,5
306322,8,6,6
306322,8,7,6
306322,8,8,4
306322,8,9,3
306322,8,10,3
306322,8,11,3
306322,8,12,4
306322,8,13,4
306322,8,14,4
306322,8,15,5
306322,8,16,5
306322,8,17,4
306322,8,18,4
306322,8,19,4
306322,8,20,4
306322,8,21,3
306322,8,22,2
306322,8,23,2
303717,9,0,2
303717,9,1,2
303717,9,2,1
303717,9,3,1
303717,9,4,2
303717,9,5,5
303717,9,6,6
303717,9,7,6
303717,9,8,4
303717,9,9,3
303717,9,10,3
303717,9,11,3
303717,9,12,4
303717,9,13,4
303717,9,14,4
303717,9,15,5
303717,9,16,5
303717,9,17,4
303717,9,18,4
303717,9,19,4
303717,9,20,4
303717,9,21,3
303717,9,22,2
303717,9,23,2
303718,10,0,2
303718,10,1,2
303718,10,2,1
303718,10,3,1
303718,10,4,2
303718,10,5,5
303718,10,6,6
303718,10,7,6
303718,10,8,4
303718,10,9,3
303718,10,10,3
303718,10,11,3
303718,10,12,4
303718,10,13,4
