scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
1,0,901736,1,10.83940523,11.30812812
1,1,303710,2,6.003647774,5.941025552
1,2,303711,3,5.319342473,5.346955747
1,3,303712,4,7.144156608,7.633619628
1,4,303713,5,13.43976537,12.80691727
1,5,303714,6,6.140508834,6.212829062
1,6,306974,7,5.456203534,5.437135335
1,7,306322,8,6.277369894,6.447560626
1,8,303717,9,5.775546007,5.868040467
1,9,303718,10,5.13686106,5.146549726
1,10,308136,11,11.88867336,12.5488143
1,11,303720,12,5.54744424,5.530004272
1,12,303722,13,5.54744424,5.537673594
1,13,303723,14,5.27372212,5.228593129
1,14,303724,15,5.091240707,5.081165048
1,15,303725,16,5.319342473,5.310341187
1,16,303726,17,15.49268127,13.90566538
1,17,303727,18,5.319342473,5.277203022
1,18,303728,19,5.13686106,5.118120844
1,19,303729,20,5.27372212,5.245406438
1,20,303730,21,5.821166361,5.766261329
1,21,303731,22,5.866786714,5.718476837
1,22,303732,23,5.593064594,5.652952793
1,23,303733,24,5.54744424,5.566433636
1,24,303734,25,5.638684947,5.662489139
1,25,303735,26,6.322990248,6.379446646
1,26,303736,27,7.326638021,7.240430433
1,27,303737,28,6.870434488,6.581697283
1,28,303738,29,5.501823887,5.529911804
1,29,304663,30,6.186129187,5.997770287
1,30,304664,31,10.10947958,9.90333396
1,31,306600,32,5.729925654,5.583131863
1,32,306676,33,5.501823887,5.548513935
1,33,306677,34,5.364962827,5.376861974
1,34,306474,35,5.593064594,5.581848257
1,35,305263,36,5.958027421,5.932089132
1,36,305264,37,5.729925654,5.773614349
1,37,305265,38,6.733573428,6.642174297
1,38,306476,39,8.284665443,7.86449385
1,39,307114,40,7.144156608,7.263545118
1,40,306622,41,7.554739788,7.368732442
1,41,305271,42,6.414230954,6.489199331
1,42,305272,43,6.414230954,6.368075585
1,43,306623,44,5.501823887,5.545880538
1,44,307121,45,5.091240707,5.089991356
1,45,305155,46,6.003647774,5.889124663
1,46,305156,47,6.094888481,6.130432536
1,47,305157,48,7.96532297,7.946800267
1,48,305159,49,7.691600848,7.422509458
1,49,308186,50,7.782841555,7.913103809
1,50,305284,51,7.919702614,7.924697168
1,51,308187,52,5.6843053,5.572866005
1,52,305286,53,8.330285796,8.575577365
