scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
1,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,220.1623527
1,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,32.8430868
1,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,12.10923306
1,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,91.9169494
1,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,272.4721566
1,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,42.32940336
1,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,15.25662477
1,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,50.52185796
1,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,30.29580688
1,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,5.114787103
1,10,308136,11,KINGSTON AV/UNION ST,240.4241803,263.4640076
1,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,18.49787848
1,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,18.76554838
1,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,7.978214784
1,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,2.832771859
1,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,10.83133451
1,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,310.8199777
1,17,303727,18,THROOP AV/FULTON ST,11.1454918,9.674766948
1,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,4.122580022
1,19,303729,20,THROOP AV/HALSEY ST,9.553278689,8.565022407
1,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,26.74357491
1,21,303731,22,THROOP AV/MADISON ST,30.25204918,25.07583036
1,22,303732,23,THROOP AV/GATES AV,20.69877049,22.78895107
1,23,303733,24,THROOP AV/GREENE AV,19.10655738,19.76931341
1,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,23.12178268
1,25,303735,26,THROOP AV/DE KALB AV,46.17418033,48.14458634
1,26,303736,27,THROOP AV/HART ST,81.20286885,78.19410536
1,27,303737,28,THROOP AV/MYRTLE AV,65.2807377,55.20341188
1,28,303738,29,THROOP AV/PARK AV,17.51434426,18.49465122
1,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,34.82355614
1,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,171.1331032
1,31,306600,32,GRAHAM AV/COOK ST,25.47540984,20.35210452
1,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,19.1438912
1,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,13.15300153
1,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,20.30730492
1,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,32.53119344
1,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,27.00020542
1,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,57.31414292
1,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,99.97477747
1,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,79.0008397
1,40,306622,41,GRAHAM AV/BAYARD ST,89.16393443,82.67202205
1,41,305271,42,GRAHAM AV/ENGERT AV,49.35860656,51.97510607
1,42,305272,43,GRAHAM AV/DRIGGS AV,49.35860656,47.74772066
1,43,306623,44,DRIGGS AV/LEONARD ST,17.51434426,19.051982
1,44,307121,45,MANHATTAN AV/NASSAU AV,3.18442623,3.140822181
1,45,305155,46,MANHATTAN AV/NORMAN AV,35.02868852,31.03167435
1,46,305156,47,MANHATTAN AV/MESEROLE AV,38.21311475,39.45365118
1,47,305157,48,MANHATTAN AV/CALYER ST,103.4938525,102.8473847
1,48,305159,49,MANHATTAN AV/GREENPOINT AV,93.94057377,84.54891391
1,49,308186,50,MANHATTAN AV/INDIA ST,97.125,101.6713319
1,50,305284,51,MANHATTAN AV/EAGLE ST,101.9016393,102.0759561
1,51,308187,52,MANHATTAN AV/CLAY ST,23.88319672,19.99381195
1,52,305286,53,BOX ST/MANHATTAN AV,116.2315574,124.7925707
2,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,205.6010272
2,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,39.50852524
2,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,9.227376995
2,3,303712,4,EMPIRE BLVD/ROGERS AV,74.83401639,78.15324113
2,4,303713,5,EMPIRE BLVD/NOSTRAND AV,294.5594262,244.2237864
2,5,303714,6,EMPIRE BLVD/NEW YORK AV,39.80532787,36.5853712
2,6,306974,7,EMPIRE BLVD/BROOKLYN AV,15.92213115,15.87211877
2,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,40.51381589
2,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,27.28003086
2,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,4.849720694
2,10,308136,11,KINGSTON AV/UNION ST,240.4241803,257.272004
2,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,20.91273397
2,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,20.77276242
2,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,9.807326951
2,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,2.700096792
2,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,12.97815976
2,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,399.8156849
2,17,303727,18,THROOP AV/FULTON ST,11.1454918,11.17085036
2,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,5.435741896
2,19,303729,20,THROOP AV/HALSEY ST,9.553278689,9.219490077
2,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,24.46011378
2,21,303731,22,THROOP AV/MADISON ST,30.25204918,28.03388609
2,22,303732,23,THROOP AV/GATES AV,20.69877049,20.38851783
2,23,303733,24,THROOP AV/GREENE AV,19.10655738,19.64859909
2,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,23.57163628
2,25,303735,26,THROOP AV/DE KALB AV,46.17418033,45.58179255
2,26,303736,27,THROOP AV/HART ST,81.20286885,77.40087199
