stop_index,stop_id,stop_sequence,stop_name,status,baseline_ridership,optimized_ridership,ridership_change,baseline_dwell_time,optimized_dwell_time,dwell_time_change,baseline_accel_decel,optimized_accel_decel,walk_cost_daily,walk_distance_to_nearest,distance_to_next,distance_from_prev
0,305287.0,1.0,BOX ST/MANHATTAN AV,Open,84.38729435,84.38729435,0.0,7.512456504,7.512456504182957,1.829567608524485e-10,11.46377219,15.044640530617324,0.0,0.0,109.668153,0.0
1,308189.0,2.0,MANHATTAN AV/CLAY ST,Open,62.09631241,62.09631241,0.0,6.848788792,6.848788792222741,2.227409368060762e-10,11.46377219,15.044640530617324,0.0,0.0,243.5605923,109.668153
2,305167.0,3.0,MANHATTAN AV/FREEMAN ST,Open,62.09631241,62.09631241,0.0,6.848788792,6.848788792222741,2.227409368060762e-10,11.46377219,15.044640530617324,0.0,0.0,186.3423648,243.5605923
3,308188.0,4.0,MANHATTAN AV/INDIA ST,Open,76.42623049,76.42623049,0.0,7.275432355,7.275432354643165,-3.56835450077142e-10,11.46377219,15.044640530617324,0.0,0.0,289.7093876,186.3423648
4,305170.0,5.0,MANHATTAN AV/GREENPOINT AV,Open,105.0860666,105.0860666,0.0,8.128719478,8.128719477995366,-4.6345149939952535e-12,11.46377219,15.044640530617324,0.0,0.0,238.8914305,289.7093876
5,305171.0,6.0,MANHATTAN AV/CALYER ST,Open,42.98975423,65.2807384,22.29098417,6.279930687,6.943598465317382,0.6636677783173814,11.46377219,15.044640530617324,0.0,0.0,127.675591,238.8914305
6,305172.0,7.0,MANHATTAN AV/MESEROLE AV,Closed,22.29098417,0.0,-22.29098417,5.663667778,5.0,-0.6636677779999998,11.46377219,0.0,16.94056296354997,127.675591,200.1787039,127.675591
7,305173.0,8.0,MANHATTAN AV/NORMAN AV,Open,22.29098417,22.29098417,0.0,5.663667778,5.663667778353838,3.538378479106541e-10,11.46377219,15.044640530617324,0.0,0.0,200.661136,200.1787039
8,305174.0,9.0,MANHATTAN AV/NASSAU AV,Open,11.14549209,17.514344071,6.368851981000001,5.331833889,5.521453235544839,0.18961934654483859,11.46377219,15.044640530617324,0.0,0.0,141.0402243,200.661136
9,305175.0,10.0,MANHATTAN AV/DRIGGS AV,Closed,6.368851981,0.0,-6.368851981,5.189619346,5.0,-0.18961934599999974,11.46377219,0.0,5.346811380557972,141.0402243,293.6197477,141.0402243
10,305299.0,11.0,GRAHAM AV/ENGERT AV,Open,70.05737627,70.05737627,0.0,7.085812942,7.0858129417625335,-2.374660468262846e-10,11.46377219,15.044640530617324,0.0,0.0,200.8307826,293.6197477
11,305300.0,12.0,GRAHAM AV/MEEKER AV,Open,52.5430322,52.5430322,0.0,6.564359706,6.564359706247468,2.474678240105277e-10,11.46377219,15.044640530617324,0.0,0.0,134.5430795,200.8307826
12,305301.0,13.0,GRAHAM AV/RICHARDSON ST,Open,85.97950846,85.97950846,0.0,7.559861374,7.559861373927088,-7.291145465160298e-11,11.46377219,15.044640530617324,0.0,0.0,235.8127825,134.5430795
13,306570.0,14.0,GRAHAM AV/JACKSON ST,Open,22.29098417,22.29098417,0.0,5.663667778,5.663667778353838,3.538378479106541e-10,11.46377219,15.044640530617324,0.0,0.0,242.4199134,235.8127825
14,305304.0,15.0,GRAHAM AV/METROPOLITAN AV,Open,184.6967209,199.02663898,14.329918079999999,10.49896144,10.925605003248622,0.4266435632486214,11.46377219,15.044640530617324,0.0,0.0,156.9066765,242.4199134
15,305305.0,16.0,GRAHAM AV/AINSLIE ST,Closed,14.32991808,0.0,-14.32991808,5.426643562,5.0,-0.42664356199999975,11.46377219,0.0,13.38368940744084,156.9066765,167.4246067,156.9066765
16,305306.0,17.0,GRAHAM AV/GRAND ST,Open,39.80532824,39.80532824,0.0,6.185121014,6.185121013868902,-1.3109779928299758e-10,11.46377219,15.044640530617324,0.0,0.0,318.3476824,167.4246067
17,305308.0,18.0,GRAHAM AV/SCHOLES ST,Closed,7.961066096,0.0,-7.961066096,5.237024216,5.0,-0.237024216,11.46377219,0.0,11.551723005591938,243.7725603,243.7725603,318.3476824
18,305310.0,19.0,GRAHAM AV/JOHNSON AV,Open,15.92213219,23.883198286,7.961066096,5.474048432,5.711072648276605,0.23702421627660542,11.46377219,15.044640530617324,0.0,0.0,239.9416665,243.7725603
19,305311.0,20.0,GRAHAM AV/SEIGEL ST,Closed,11.14549209,0.0,-11.14549209,5.331833889,5.0,-0.3318338890000003,11.46377219,0.0,15.715771716255292,236.8894641,236.8894641,239.9416665
20,305312.0,21.0,GRAHAM AV/COOK ST,Open,39.80532824,50.95082033,11.145492089999998,6.185121014,6.516954903194686,0.33183388919468637,11.46377219,15.044640530617324,0.0,0.0,221.0010444,236.8894641
21,306696.0,22.0,THORNTON ST/THROOP AV,Open,52.5430322,52.5430322,0.0,6.564359706,6.564359706247468,2.474678240105277e-10,11.46377219,15.044640530617324,0.0,0.0,269.9441773,221.0010444
22,303762.0,23.0,TOMPKINS AV/FLUSHING AV,Closed,6.368851981,0.0,-6.368851981,5.189619346,5.0,-0.18961934599999974,11.46377219,0.0,4.378011854091229,115.4848619,115.4848619,269.9441773
23,308067.0,24.0,TOMPKINS AV/ELLERY ST,Open,9.553277972,15.922129952999999,6.368851980999999,5.284429019,5.474048365562524,0.189619346562524,11.46377219,15.044640530617324,0.0,0.0,210.201429,115.4848619
24,303764.0,25.0,TOMPKINS AV/MARTIN LUTHER KING JR PL,Closed,19.10655818,0.0,-19.10655818,5.568858105,5.0,-0.5688581050000003,11.46377219,0.0,19.02885119374257,167.3167386,167.3167386,210.201429
25,303765.0,26.0,TOMPKINS AV/MYRTLE AV,Open,17.51434407,50.95082033,33.43647626,5.521453236,6.516954903194686,0.9955016671946861,11.46377219,15.044640530617324,0.0,0.0,165.8156805,167.3167386
26,303766.0,27.0,TOMPKINS AV/WILLOUGHBY AV,Closed,14.32991808,0.0,-14.32991808,5.426643562,5.0,-0.42664356199999975,11.46377219,0.0,14.14360189252651,165.8156805,201.5691369,165.8156805
27,308085.0,28.0,TOMPKINS AV/DEKALB AV,Open,15.92213219,15.92213219,0.0,5.474048432,5.4740484321645555,1.645554803531013e-10,11.46377219,15.044640530617324,0.0,0.0,208.7012887,201.5691369
28,303769.0,29.0,TOMPKINS AV/LAFAYETTE AV,Open,25.47541016,38.21311412,12.737703960000001,5.758477451,6.137716143827043,0.3792386928270428,11.46377219,15.044640530617324,0.0,0.0,172.1935845,208.7012887
29,303770.0,30.0,TOMPKINS AV/GREENE AV,Closed,12.73770396,0.0,-12.73770396,5.379238692,5.0,-0.3792386920000004,11.46377219,0.0,13.055660137930028,172.1935845,234.8818738,172.1935845
30,303771.0,31.0,TOMPKINS AV/GATES AV,Open,11.14549209,11.14549209,0.0,5.331833889,5.331833889325783,3.2578295616758624e-10,11.46377219,15.044640530617324,0.0,0.0,254.9943797,234.8818738
31,308023.0,32.0,TOMPKINS AV/PUTNAM AV,Open,20.69877006,20.69877006,0.0,5.616262909,5.6162629086097065,-3.9029313114724573e-10,11.46377219,15.044640530617324,0.0,0.0,243.3548409,254.9943797
32,303774.0,33.0,TOMPKINS AV/HALSEY ST,Open,22.29098417,22.29098417,0.0,5.663667778,5.663667778353838,3.538378479106541e-10,11.46377219,15.044640530617324,0.0,0.0,230.7863022,243.3548409
33,303776.0,34.0,TOMPKINS AV/FULTON ST,Closed,33.43647626,0.0,-33.43647626,5.995501668,5.0,-0.9955016680000002,11.46377219,0.0,14.943717143674144,75.08400289,75.08400289,230.7863022
34,303777.0,35.0,BROOKLYN AV/FULTON ST,Open,33.43647626,66.87295252,33.43647626,5.995501668,6.991003335359242,0.9955016673592416,11.46377219,15.044640530617324,0.0,0.0,223.0771807,75.08400289
35,303778.0,36.0,BROOKLYN AV/ATLANTIC AV,Open,60.5040983,60.5040983,0.0,6.801383922,6.8013839224786095,4.786091523101277e-10,11.46377219,15.044640530617324,0.0,0.0,254.2590155,223.0771807
36,303779.0,37.0,BROOKLYN AV/BERGEN ST,Open,14.32991808,14.32991808,0.0,5.426643562,5.426643562420424,4.204245840355725e-10,11.46377219,15.044640530617324,0.0,0.0,298.3095881,254.2590155
37,303780.0,38.0,BROOKLYN AV/PARK PL,Open,17.51434407,17.51434407,0.0,5.521453236,5.521453235515065,-4.84934759015232e-10,11.46377219,15.044640530617324,0.0,0.0,201.8837462,298.3095881
38,303781.0,39.0,BROOKLYN AV/SAINT JOHNS PL,Closed,19.10655818,0.0,-19.10655818,5.568858105,5.0,-0.5688581050000003,11.46377219,0.0,14.404713201770283,126.6576531,126.6576531,201.8837462
39,303782.0,40.0,BROOKLYN AV/EASTERN PKWY,Open,15.92213219,38.213116361,22.290984170999998,5.474048432,6.137716210548166,0.6636677785481657,11.46377219,15.044640530617324,0.0,0.0,172.8332297,126.6576531
40,303783.0,41.0,BROOKLYN AV/UNION ST,Closed,3.184425991,0.0,-3.184425991,5.094809673,5.0,-0.09480967300000032,11.46377219,0.0,3.2760394569354356,172.8332297,192.8217647,172.8332297
41,303784.0,42.0,BROOKLYN AV/CARROLL ST,Open,11.14549209,11.14549209,0.0,5.331833889,5.331833889325783,3.2578295616758624e-10,11.46377219,15.044640530617324,0.0,0.0,196.1853762,192.8217647
42,303785.0,43.0,BROOKLYN AV/MONTGOMERY ST,Closed,17.51434407,0.0,-17.51434407,5.521453236,5.0,-0.5214532360000002,11.46377219,0.0,7.01902315767227,67.32743663,67.32743663,196.1853762
