stop_id,stop_sequence,hour,trips_in_hour
305287,1,0,2
305287,1,1,2
305287,1,2,1
305287,1,3,1
305287,1,4,2
305287,1,5,1
305287,1,6,4
305287,1,7,5
305287,1,8,6
305287,1,9,5
305287,1,10,3
305287,1,11,3
305287,1,12,3
305287,1,13,4
305287,1,14,4
305287,1,15,4
305287,1,16,4
305287,1,17,4
305287,1,18,5
305287,1,19,5
305287,1,20,4
305287,1,21,4
305287,1,22,4
305287,1,23,3
308189,2,0,2
308189,2,1,2
308189,2,2,1
308189,2,3,1
308189,2,4,2
308189,2,5,1
308189,2,6,4
308189,2,7,5
308189,2,8,6
308189,2,9,5
308189,2,10,3
308189,2,11,3
308189,2,12,3
308189,2,13,4
308189,2,14,4
308189,2,15,4
308189,2,16,4
308189,2,17,4
308189,2,18,5
308189,2,19,5
308189,2,20,4
308189,2,21,4
308189,2,22,4
308189,2,23,3
305167,3,0,2
305167,3,1,2
305167,3,2,1
305167,3,3,1
305167,3,4,2
305167,3,5,1
305167,3,6,4
305167,3,7,5
305167,3,8,6
305167,3,9,5
305167,3,10,3
305167,3,11,3
305167,3,12,3
305167,3,13,4
305167,3,14,4
305167,3,15,4
305167,3,16,4
305167,3,17,4
305167,3,18,5
305167,3,19,5
305167,3,20,4
305167,3,21,4
305167,3,22,4
305167,3,23,3
308188,4,0,2
308188,4,1,2
308188,4,2,1
308188,4,3,1
308188,4,4,2
308188,4,5,1
308188,4,6,4
308188,4,7,5
308188,4,8,6
308188,4,9,5
308188,4,10,3
308188,4,11,3
308188,4,12,3
308188,4,13,4
308188,4,14,4
308188,4,15,4
308188,4,16,4
308188,4,17,4
308188,4,18,5
308188,4,19,5
308188,4,20,4
308188,4,21,4
308188,4,22,4
308188,4,23,3
305170,5,0,2
305170,5,1,2
305170,5,2,1
305170,5,3,1
305170,5,4,2
305170,5,5,1
305170,5,6,4
305170,5,7,5
305170,5,8,6
305170,5,9,5
305170,5,10,3
305170,5,11,3
305170,5,12,3
305170,5,13,4
305170,5,14,4
305170,5,15,4
305170,5,16,4
305170,5,17,4
305170,5,18,5
305170,5,19,5
305170,5,20,4
305170,5,21,4
305170,5,22,4
305170,5,23,3
305171,6,0,2
305171,6,1,2
305171,6,2,1
305171,6,3,1
305171,6,4,2
305171,6,5,1
305171,6,6,4
305171,6,7,5
305171,6,8,6
305171,6,9,5
305171,6,10,3
305171,6,11,3
305171,6,12,3
305171,6,13,4
