scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
1,0,305287.0,1.0,7.512456504,7.24373816773607
1,1,308189.0,2.0,6.848788792,6.989646291781624
1,2,305167.0,3.0,6.848788792,7.135340397647869
1,3,308188.0,4.0,7.275432355,7.092423918208955
1,4,305170.0,5.0,8.128719478,7.929558196831213
1,5,305171.0,6.0,6.279930687,6.195402762239205
1,6,305172.0,7.0,5.663667778,5.590472330971305
1,7,305173.0,8.0,5.663667778,5.729786725313232
1,8,305174.0,9.0,5.331833889,5.324604382391716
1,9,305175.0,10.0,5.189619346,5.177605122683913
1,10,305299.0,11.0,7.085812942,6.771407810859902
1,11,305300.0,12.0,6.564359706,6.569809098383957
1,12,305301.0,13.0,7.559861374,7.10258847226929
1,13,306570.0,14.0,5.663667778,5.639003711799984
1,14,305304.0,15.0,10.49896144,9.689626680850713
1,15,305305.0,16.0,5.426643562,5.38863723440764
1,16,305306.0,17.0,6.185121014,6.133497846195186
1,17,305308.0,18.0,5.237024216,5.234947966267395
1,18,305310.0,19.0,5.474048432,5.502705071609369
1,19,305311.0,20.0,5.331833889,5.345495636897659
1,20,305312.0,21.0,6.185121014,5.960280059287688
1,21,306696.0,22.0,6.564359706,6.542130054418574
1,22,303762.0,23.0,5.189619346,5.175553994551625
1,23,308067.0,24.0,5.284429019,5.3379564750245665
1,24,303764.0,25.0,5.568858105,5.450954043211546
1,25,303765.0,26.0,5.521453236,5.528419198333585
1,26,303766.0,27.0,5.426643562,5.394878080673236
1,27,308085.0,28.0,5.474048432,5.4731182125685605
1,28,303769.0,29.0,5.758477451,5.762024093230486
1,29,303770.0,30.0,5.379238692,5.339610615145257
1,30,303771.0,31.0,5.331833889,5.2797219010989265
1,31,308023.0,32.0,5.616262909,5.666067738968301
1,32,303774.0,33.0,5.663667778,5.66645923419557
1,33,303776.0,34.0,5.995501668,5.926805319873519
1,34,303777.0,35.0,5.995501668,6.013074650615951
1,35,303778.0,36.0,6.801383922,6.949410938301356
1,36,303779.0,37.0,5.426643562,5.485264709816263
1,37,303780.0,38.0,5.521453236,5.475498049565601
1,38,303781.0,39.0,5.568858105,5.551098756292258
1,39,303782.0,40.0,5.474048432,5.468428266959005
1,40,303783.0,41.0,5.094809673,5.091259978929626
1,41,303784.0,42.0,5.331833889,5.29145053220573
1,42,303785.0,43.0,5.521453236,5.4959641322014825
1,43,303786.0,44.0,5.853287125,5.803117604527903
1,44,303787.0,45.0,5.616262909,5.669861360073576
1,45,303788.0,46.0,12.91660827,13.688967886167665
1,46,303789.0,47.0,5.189619346,5.147126827428636
1,47,901744.0,48.0,6.991003269,6.961906803957091
1,48,303791.0,49.0,5.331833889,5.328512018882894
1,49,901735.0,50.0,15.2868503,16.341680271577605
2,0,305287.0,1.0,7.512456504,8.002667472671957
2,1,308189.0,2.0,6.848788792,7.075945210907984
2,2,305167.0,3.0,6.848788792,6.727817439346396
2,3,308188.0,4.0,7.275432355,7.5257686878464085
2,4,305170.0,5.0,8.128719478,8.10463234545315
2,5,305171.0,6.0,6.279930687,6.233836315012025
2,6,305172.0,7.0,5.663667778,5.714791473793692
2,7,305173.0,8.0,5.663667778,5.662483828274959
2,8,305174.0,9.0,5.331833889,5.327426211701976
2,9,305175.0,10.0,5.189619346,5.176758492155185
2,10,305299.0,11.0,7.085812942,7.099487333492019
2,11,305300.0,12.0,6.564359706,6.854167257620245
2,12,305301.0,13.0,7.559861374,7.360494280011285
2,13,306570.0,14.0,5.663667778,5.552912270538568
2,14,305304.0,15.0,10.49896144,11.34518673584803
2,15,305305.0,16.0,5.426643562,5.426295484506258
2,16,305306.0,17.0,6.185121014,6.143702016130618
2,17,305308.0,18.0,5.237024216,5.20403930850359
2,18,305310.0,19.0,5.474048432,5.457023103095524
2,19,305311.0,20.0,5.331833889,5.287551000620358
2,20,305312.0,21.0,6.185121014,6.354247930884501
2,21,306696.0,22.0,6.564359706,6.389295499984193
2,22,303762.0,23.0,5.189619346,5.188769002576054
2,23,308067.0,24.0,5.284429019,5.334650746801419
2,24,303764.0,25.0,5.568858105,5.462431340042766
2,25,303765.0,26.0,5.521453236,5.5073987740807375
2,26,303766.0,27.0,5.426643562,5.346763803440557
2,27,308085.0,28.0,5.474048432,5.448530871731311
2,28,303769.0,29.0,5.758477451,5.733643043497721
2,29,303770.0,30.0,5.379238692,5.310077244171452
2,30,303771.0,31.0,5.331833889,5.269022831319304
2,31,308023.0,32.0,5.616262909,5.671215341956319
2,32,303774.0,33.0,5.663667778,5.635068000308004
2,33,303776.0,34.0,5.995501668,5.950486989131857
2,34,303777.0,35.0,5.995501668,6.074853274483786
2,35,303778.0,36.0,6.801383922,6.898929455116392
2,36,303779.0,37.0,5.426643562,5.416644519559363
2,37,303780.0,38.0,5.521453236,5.492230304780833
2,38,303781.0,39.0,5.568858105,5.67280943162984
2,39,303782.0,40.0,5.474048432,5.558896477946032
2,40,303783.0,41.0,5.094809673,5.094277180243101
2,41,303784.0,42.0,5.331833889,5.367515331383099
2,42,303785.0,43.0,5.521453236,5.473680266974054
2,43,303786.0,44.0,5.853287125,5.834013633636935
2,44,303787.0,45.0,5.616262909,5.625370243525203
2,45,303788.0,46.0,12.91660827,12.307702581575116
2,46,303789.0,47.0,5.189619346,5.178369913902951
2,47,901744.0,48.0,6.991003269,7.051160905820589
2,48,303791.0,49.0,5.331833889,5.350090633097335
2,49,901735.0,50.0,15.2868503,14.924601200525869
3,0,305287.0,1.0,7.512456504,7.102770039689783
3,1,308189.0,2.0,6.848788792,7.088569181763226
3,2,305167.0,3.0,6.848788792,7.129557387900939
3,3,308188.0,4.0,7.275432355,7.191252254517124
3,4,305170.0,5.0,8.128719478,8.091434048057232
3,5,305171.0,6.0,6.279930687,6.109848283200772
3,6,305172.0,7.0,5.663667778,5.635460676841323
3,7,305173.0,8.0,5.663667778,5.653282731892676
3,8,305174.0,9.0,5.331833889,5.347342992156268
3,9,305175.0,10.0,5.189619346,5.185185702482879
3,10,305299.0,11.0,7.085812942,7.018845203536313
3,11,305300.0,12.0,6.564359706,6.567166580046407
3,12,305301.0,13.0,7.559861374,7.385973637126504
3,13,306570.0,14.0,5.663667778,5.5422028118171305
3,14,305304.0,15.0,10.49896144,10.377393755011363
3,15,305305.0,16.0,5.426643562,5.391009517718335
3,16,305306.0,17.0,6.185121014,6.310843948411558
3,17,305308.0,18.0,5.237024216,5.239968389858379
3,18,305310.0,19.0,5.474048432,5.526031462581422
3,19,305311.0,20.0,5.331833889,5.321028257582021
3,20,305312.0,21.0,6.185121014,6.217396824621967
3,21,306696.0,22.0,6.564359706,6.675483072297058
3,22,303762.0,23.0,5.189619346,5.191104432077039
3,23,308067.0,24.0,5.284429019,5.278648791308193
3,24,303764.0,25.0,5.568858105,5.668031151249035
