stop_index,stop_id,stop_sequence,stop_name,status,baseline_ridership,baseline_dwell_time,distance_to_next,distance_from_prev
0,305287.0,1.0,BOX ST/MANHATTAN AV,Open,84.38729435,7.512456504,109.668153,0.0
1,308189.0,2.0,MANHATTAN AV/CLAY ST,Open,62.09631241,6.848788792,243.5605923,109.668153
2,305167.0,3.0,MANHATTAN AV/FREEMAN ST,Open,62.09631241,6.848788792,186.3423648,243.5605923
3,308188.0,4.0,MANHATTAN AV/INDIA ST,Open,76.42623049,7.275432355,289.7093876,186.3423648
4,305170.0,5.0,MANHATTAN AV/GREENPOINT AV,Open,105.0860666,8.128719478,238.8914305,289.7093876
5,305171.0,6.0,MANHATTAN AV/CALYER ST,Open,42.98975423,6.279930687,127.675591,238.8914305
6,305172.0,7.0,MANHATTAN AV/MESEROLE AV,Closed,22.29098417,5.663667778,200.1787039,127.675591
7,305173.0,8.0,MANHATTAN AV/NORMAN AV,Open,22.29098417,5.663667778,200.661136,200.1787039
8,305174.0,9.0,MANHATTAN AV/NASSAU AV,Open,11.14549209,5.331833889,141.0402243,200.661136
9,305175.0,10.0,MANHATTAN AV/DRIGGS AV,Closed,6.368851981,5.189619346,293.6197477,141.0402243
10,305299.0,11.0,GRAHAM AV/ENGERT AV,Open,70.05737627,7.085812942,200.8307826,293.6197477
11,305300.0,12.0,GRAHAM AV/MEEKER AV,Open,52.5430322,6.564359706,134.5430795,200.8307826
12,305301.0,13.0,GRAHAM AV/RICHARDSON ST,Open,85.97950846,7.559861374,235.8127825,134.5430795
13,306570.0,14.0,GRAHAM AV/JACKSON ST,Open,22.29098417,5.663667778,242.4199134,235.8127825
14,305304.0,15.0,GRAHAM AV/METROPOLITAN AV,Open,184.6967209,10.49896144,156.9066765,242.4199134
15,305305.0,16.0,GRAHAM AV/AINSLIE ST,Closed,14.32991808,5.426643562,167.4246067,156.9066765
16,305306.0,17.0,GRAHAM AV/GRAND ST,Open,39.80532824,6.185121014,318.3476824,167.4246067
17,305308.0,18.0,GRAHAM AV/SCHOLES ST,Closed,7.961066096,5.237024216,243.7725603,318.3476824
18,305310.0,19.0,GRAHAM AV/JOHNSON AV,Open,15.92213219,5.474048432,239.9416665,243.7725603
19,305311.0,20.0,GRAHAM AV/SEIGEL ST,Closed,11.14549209,5.331833889,236.8894641,239.9416665
20,305312.0,21.0,GRAHAM AV/COOK ST,Open,39.80532824,6.185121014,221.0010444,236.8894641
21,306696.0,22.0,THORNTON ST/THROOP AV,Open,52.5430322,6.564359706,269.9441773,221.0010444
22,303762.0,23.0,TOMPKINS AV/FLUSHING AV,Closed,6.368851981,5.189619346,115.4848619,269.9441773
23,308067.0,24.0,TOMPKINS AV/ELLERY ST,Open,9.553277972,5.284429019,210.201429,115.4848619
24,303764.0,25.0,TOMPKINS AV/MARTIN LUTHER KING JR PL,Closed,19.10655818,5.568858105,167.3167386,210.201429
25,303765.0,26.0,TOMPKINS AV/MYRTLE AV,Open,17.51434407,5.521453236,165.8156805,167.3167386
26,303766.0,27.0,TOMPKINS AV/WILLOUGHBY AV,Closed,14.32991808,5.426643562,201.5691369,165.8156805
27,308085.0,28.0,TOMPKINS AV/DEKALB AV,Open,15.92213219,5.474048432,208.7012887,201.5691369
28,303769.0,29.0,TOMPKINS AV/LAFAYETTE AV,Open,25.47541016,5.758477451,172.1935845,208.7012887
29,303770.0,30.0,TOMPKINS AV/GREENE AV,Closed,12.73770396,5.379238692,234.8818738,172.1935845
30,303771.0,31.0,TOMPKINS AV/GATES AV,Open,11.14549209,5.331833889,254.9943797,234.8818738
31,308023.0,32.0,TOMPKINS AV/PUTNAM AV,Open,20.69877006,5.616262909,243.3548409,254.9943797
32,303774.0,33.0,TOMPKINS AV/HALSEY ST,Open,22.29098417,5.663667778,230.7863022,243.3548409
33,303776.0,34.0,TOMPKINS AV/FULTON ST,Closed,33.43647626,5.995501668,75.08400289,230.7863022
34,303777.0,35.0,BROOKLYN AV/FULTON ST,Open,33.43647626,5.995501668,223.0771807,75.08400289
35,303778.0,36.0,BROOKLYN AV/ATLANTIC AV,Open,60.5040983,6.801383922,254.2590155,223.0771807
36,303779.0,37.0,BROOKLYN AV/BERGEN ST,Open,14.32991808,5.426643562,298.3095881,254.2590155
37,303780.0,38.0,BROOKLYN AV/PARK PL,Open,17.51434407,5.521453236,201.8837462,298.3095881
38,303781.0,39.0,BROOKLYN AV/SAINT JOHNS PL,Closed,19.10655818,5.568858105,126.6576531,201.8837462
39,303782.0,40.0,BROOKLYN AV/EASTERN PKWY,Open,15.92213219,5.474048432,172.8332297,126.6576531
40,303783.0,41.0,BROOKLYN AV/UNION ST,Closed,3.184425991,5.094809673,192.8217647,172.8332297
41,303784.0,42.0,BROOKLYN AV/CARROLL ST,Open,11.14549209,5.331833889,196.1853762,192.8217647
42,303785.0,43.0,BROOKLYN AV/MONTGOMERY ST,Closed,17.51434407,5.521453236,67.32743663,196.1853762
43,303786.0,44.0,EMPIRE BLVD/BROOKLYN AV,Open,28.65983615,5.853287125,241.0211682,67.32743663
44,303787.0,45.0,EMPIRE BLVD/NEW YORK AV,Open,20.69877006,5.616262909,233.9342913,241.0211682
